symbol,slice_label,run_id,event_type,context_cell,survived,best_template,best_direction,best_horizon,rank_score,fold_valid_count,n_events,mean_after_cost_expectancy_bps_valid_folds,median_after_cost_expectancy_bps_valid_folds,worst_after_cost_expectancy_bps_valid_fold,t_stat,best_rejection_reason,uplift_bps_vs_unconditional,uplift_rank_score_vs_unconditional,uplift_fold_valid_count_vs_unconditional
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_EXTREME_ONSET,high_vol,True,continuation,long,48b,0.6162159500000001,1.0,450.0,18.84824526452422,18.84824526452422,18.84824526452422,1.8638,,-34.0405912373819,0.6162159500000001,-2.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,VOL_SHOCK,positive_funding,True,continuation,long,24b,0.60389055,1.0,1342.0,103.11193258227739,103.11193258227739,103.11193258227739,2.9303,,0.0,0.60389055,0.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_PERSISTENCE_TRIGGER,high_vol,True,continuation,long,48b,0.5909106500000001,1.0,3503.0,143.69508699212733,143.69508699212733,143.69508699212733,2.0772,,92.03705871742363,0.5909106500000001,-5.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,VOL_SHOCK,wide_spread,True,continuation,long,24b,0.5908197500000001,1.0,1618.0,103.11193258227739,103.11193258227739,103.11193258227739,2.9098,,0.0,0.5908197500000001,0.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_PERSISTENCE_TRIGGER,bearish_trend,True,continuation,long,24b,0.5803385000000001,3.0,3380.0,161.51834476807122,119.42434289397589,88.8493493345297,1.1112,,109.86031649336752,0.5803385000000001,-3.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_EXTREME_ONSET,low_vol,True,continuation,short,48b,0.5717710500000001,1.0,733.0,33.8297804214347,33.8297804214347,33.8297804214347,0.8197,,-19.05905608047142,0.5717710500000001,-2.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_PERSISTENCE_TRIGGER,bullish_trend,True,continuation,long,24b,0.5649069000000001,3.0,3702.0,27.17157394288824,22.148729477441176,-17.62715230686162,2.2316,,-24.486454331815455,0.5649069000000001,-3.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_EXTREME_ONSET,chop,True,continuation,short,48b,0.5567686500000001,1.0,1099.0,17.150481436268986,17.150481436268986,17.150481436268986,0.7705,,-35.73835506563714,0.5567686500000001,-2.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,VOL_SHOCK,bullish_trend,True,continuation,short,48b,0.5558899,1.0,466.0,70.0891030896961,70.0891030896961,70.0891030896961,0.1361,,-33.022829492581295,0.5558899,0.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_EXTREME_ONSET,positive_funding,True,continuation,long,24b,0.5515495,3.0,1570.0,29.243850500249295,38.997841606766144,-43.23595441039907,2.0198,,-23.644986001656825,0.5515495,0.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_PERSISTENCE_TRIGGER,positive_funding,True,continuation,long,24b,0.5314869000000001,6.0,12546.0,24.64892389247032,10.513217435986268,-69.04028462136763,1.6075,,-27.009104382233375,0.5314869000000001,0.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_EXTREME_ONSET,wide_spread,True,continuation,short,48b,0.52977025,1.0,550.0,57.02769991311155,57.02769991311155,57.02769991311155,0.2026,,4.138863411205428,0.52977025,-2.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_PERSISTENCE_TRIGGER,chop,True,continuation,short,24b,0.5291657,6.0,8960.0,-30.24981985773933,20.67829002094718,-251.472891930315,1.8056,,-81.90784813244302,0.5291657,0.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_PERSISTENCE_TRIGGER,wide_spread,True,continuation,long,24b,0.5282787,6.0,4632.0,13.626835425241785,0.633870751990397,-97.47899511725966,1.4661,,-38.03119284946191,0.5282787,0.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_PERSISTENCE_TRIGGER,low_vol,True,continuation,short,24b,0.5178475,3.0,5795.0,13.906654124413683,22.13363283421288,-17.124709220937227,0.7337,,-37.75137415029001,0.5178475,-3.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_PERSISTENCE_TRIGGER,unconditional,False,continuation,long,48b,,,,,,,,rejected_no_contrast,,,
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_EXTREME_ONSET,unconditional,False,continuation,long,48b,,,,,,,,rejected_instability,,,
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,VOL_SHOCK,unconditional,False,continuation,long,24b,,,,,,,,rejected_no_contrast,,,
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_EXTREME_ONSET,bullish_trend,False,continuation,short,48b,,,,,,,,rejected_no_contrast,4.138863411205428,0.0,-2.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_PERSISTENCE_TRIGGER,negative_funding,False,continuation,short,24b,,,,,,,,blocked_missing_forward_window,,0.0,-6.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,VOL_SHOCK,bearish_trend,False,continuation,long,48b,,,,,,,,blocked_missing_forward_window,,0.0,-1.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,VOL_SHOCK,high_vol,False,continuation,long,48b,,,,,,,,blocked_missing_forward_window,,0.0,-1.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,VOL_SHOCK,chop,False,continuation,long,48b,,,,,,,,blocked_missing_forward_window,,0.0,-1.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_EXTREME_ONSET,bearish_trend,False,continuation,long,48b,,,,,,,,blocked_missing_forward_window,,0.0,-3.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,FUNDING_EXTREME_ONSET,negative_funding,False,continuation,short,24b,,,,,,,,blocked_missing_forward_window,,0.0,-3.0
BTCUSDT,full_2024,CTXUPLIFT_BTCUSDT_2024_FULL,VOL_SHOCK,negative_funding,False,continuation,long,48b,,,,,,,,blocked_missing_forward_window,,0.0,-1.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,FUNDING_EXTREME_ONSET,high_vol,True,continuation,long,48b,0.6162159500000001,1.0,450.0,18.84824526452422,18.84824526452422,18.84824526452422,1.8638,,-34.0405912373819,0.6162159500000001,-2.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,VOL_SHOCK,positive_funding,True,continuation,long,24b,0.60389055,1.0,1342.0,103.11193258227739,103.11193258227739,103.11193258227739,2.9303,,0.0,0.60389055,0.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,FUNDING_PERSISTENCE_TRIGGER,high_vol,True,continuation,long,48b,0.5909106500000001,1.0,3503.0,143.69508699212733,143.69508699212733,143.69508699212733,2.0772,,92.03705871742363,0.5909106500000001,-5.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,VOL_SHOCK,wide_spread,True,continuation,long,24b,0.5908197500000001,1.0,1618.0,103.11193258227739,103.11193258227739,103.11193258227739,2.9098,,0.0,0.5908197500000001,0.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,FUNDING_PERSISTENCE_TRIGGER,bearish_trend,True,continuation,long,24b,0.5803385000000001,3.0,3380.0,161.51834476807122,119.42434289397589,88.8493493345297,1.1112,,109.86031649336752,0.5803385000000001,-3.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,FUNDING_EXTREME_ONSET,low_vol,True,continuation,short,48b,0.5717710500000001,1.0,733.0,33.8297804214347,33.8297804214347,33.8297804214347,0.8197,,-19.05905608047142,0.5717710500000001,-2.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,FUNDING_PERSISTENCE_TRIGGER,bullish_trend,True,continuation,long,24b,0.5649069000000001,3.0,3702.0,27.17157394288824,22.148729477441176,-17.62715230686162,2.2316,,-24.486454331815455,0.5649069000000001,-3.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,FUNDING_EXTREME_ONSET,chop,True,continuation,short,48b,0.5567686500000001,1.0,1099.0,17.150481436268986,17.150481436268986,17.150481436268986,0.7705,,-35.73835506563714,0.5567686500000001,-2.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,VOL_SHOCK,bullish_trend,True,continuation,short,48b,0.5558899,1.0,466.0,70.0891030896961,70.0891030896961,70.0891030896961,0.1361,,-33.022829492581295,0.5558899,0.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,FUNDING_EXTREME_ONSET,positive_funding,True,continuation,long,24b,0.5515495,3.0,1570.0,29.243850500249295,38.997841606766144,-43.23595441039907,2.0198,,-23.644986001656825,0.5515495,0.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,FUNDING_PERSISTENCE_TRIGGER,positive_funding,True,continuation,long,24b,0.5314869000000001,6.0,12546.0,24.64892389247032,10.513217435986268,-69.04028462136763,1.6075,,-27.009104382233375,0.5314869000000001,0.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,FUNDING_EXTREME_ONSET,wide_spread,True,continuation,short,48b,0.52977025,1.0,550.0,57.02769991311155,57.02769991311155,57.02769991311155,0.2026,,4.138863411205428,0.52977025,-2.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,FUNDING_PERSISTENCE_TRIGGER,chop,True,continuation,short,24b,0.5291657,6.0,8960.0,-30.24981985773933,20.67829002094718,-251.472891930315,1.8056,,-81.90784813244302,0.5291657,0.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,FUNDING_PERSISTENCE_TRIGGER,wide_spread,True,continuation,long,24b,0.5282787,6.0,4632.0,13.626835425241785,0.633870751990397,-97.47899511725966,1.4661,,-38.03119284946191,0.5282787,0.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,FUNDING_PERSISTENCE_TRIGGER,low_vol,True,continuation,short,24b,0.5178475,3.0,5795.0,13.906654124413683,22.13363283421288,-17.124709220937227,0.7337,,-37.75137415029001,0.5178475,-3.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,FUNDING_PERSISTENCE_TRIGGER,unconditional,False,continuation,long,48b,,,,,,,,rejected_no_contrast,,,
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,FUNDING_EXTREME_ONSET,unconditional,False,continuation,long,48b,,,,,,,,rejected_instability,,,
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,VOL_SHOCK,unconditional,False,continuation,long,24b,,,,,,,,rejected_no_contrast,,,
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,FUNDING_EXTREME_ONSET,bullish_trend,False,continuation,short,48b,,,,,,,,rejected_no_contrast,4.138863411205428,0.0,-2.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,FUNDING_PERSISTENCE_TRIGGER,negative_funding,False,continuation,short,24b,,,,,,,,blocked_missing_forward_window,,0.0,-6.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,VOL_SHOCK,bearish_trend,False,continuation,long,48b,,,,,,,,blocked_missing_forward_window,,0.0,-1.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,VOL_SHOCK,high_vol,False,continuation,long,48b,,,,,,,,blocked_missing_forward_window,,0.0,-1.0
BTCUSDT,h1_2024,CTXUPLIFT_BTCUSDT_2024_H1,VOL_SHOCK,chop,False,continuation,long,48b,,,,,,,,blocked_missing_forward_window,,0.0,-1.0
