symbol,slice_label,event_type,context_cell,top_rejection_reason,best_near_miss_rank_score,best_near_miss_fold_count,best_near_miss_valid_fold_mean_after_cost_bps
BTCUSDT,full_2024,FUNDING_PERSISTENCE_TRIGGER,unconditional,rejected_no_contrast,0.0,6,51.658028274703696
BTCUSDT,full_2024,FUNDING_EXTREME_ONSET,unconditional,rejected_instability,0.0,3,52.88883650190612
BTCUSDT,full_2024,VOL_SHOCK,unconditional,rejected_no_contrast,0.0,1,103.11193258227739
BTCUSDT,full_2024,FUNDING_EXTREME_ONSET,bullish_trend,rejected_no_contrast,0.0,1,57.02769991311155
BTCUSDT,full_2024,FUNDING_PERSISTENCE_TRIGGER,negative_funding,blocked_missing_forward_window,0.0,0,
BTCUSDT,full_2024,VOL_SHOCK,bearish_trend,blocked_missing_forward_window,0.0,0,
BTCUSDT,full_2024,VOL_SHOCK,high_vol,blocked_missing_forward_window,0.0,0,
BTCUSDT,full_2024,VOL_SHOCK,chop,blocked_missing_forward_window,0.0,0,
BTCUSDT,full_2024,FUNDING_EXTREME_ONSET,bearish_trend,blocked_missing_forward_window,0.0,0,
BTCUSDT,full_2024,FUNDING_EXTREME_ONSET,negative_funding,blocked_missing_forward_window,0.0,0,
BTCUSDT,full_2024,VOL_SHOCK,negative_funding,blocked_missing_forward_window,0.0,0,
BTCUSDT,h1_2024,FUNDING_PERSISTENCE_TRIGGER,unconditional,rejected_no_contrast,0.0,6,51.658028274703696
BTCUSDT,h1_2024,FUNDING_EXTREME_ONSET,unconditional,rejected_instability,0.0,3,52.88883650190612
BTCUSDT,h1_2024,VOL_SHOCK,unconditional,rejected_no_contrast,0.0,1,103.11193258227739
BTCUSDT,h1_2024,FUNDING_EXTREME_ONSET,bullish_trend,rejected_no_contrast,0.0,1,57.02769991311155
BTCUSDT,h1_2024,FUNDING_PERSISTENCE_TRIGGER,negative_funding,blocked_missing_forward_window,0.0,0,
BTCUSDT,h1_2024,VOL_SHOCK,bearish_trend,blocked_missing_forward_window,0.0,0,
BTCUSDT,h1_2024,VOL_SHOCK,high_vol,blocked_missing_forward_window,0.0,0,
BTCUSDT,h1_2024,VOL_SHOCK,chop,blocked_missing_forward_window,0.0,0,
BTCUSDT,h1_2024,FUNDING_EXTREME_ONSET,bearish_trend,blocked_missing_forward_window,0.0,0,
BTCUSDT,h1_2024,FUNDING_EXTREME_ONSET,negative_funding,blocked_missing_forward_window,0.0,0,
BTCUSDT,h1_2024,VOL_SHOCK,negative_funding,blocked_missing_forward_window,0.0,0,
BTCUSDT,h2_2024,FUNDING_PERSISTENCE_TRIGGER,unconditional,rejected_no_contrast,0.0,6,51.658028274703696
BTCUSDT,h2_2024,FUNDING_EXTREME_ONSET,unconditional,rejected_instability,0.0,3,52.88883650190612
BTCUSDT,h2_2024,VOL_SHOCK,unconditional,rejected_no_contrast,0.0,1,103.11193258227739
BTCUSDT,h2_2024,FUNDING_EXTREME_ONSET,bullish_trend,rejected_no_contrast,0.0,1,57.02769991311155
BTCUSDT,h2_2024,FUNDING_PERSISTENCE_TRIGGER,negative_funding,blocked_missing_forward_window,0.0,0,
BTCUSDT,h2_2024,VOL_SHOCK,bearish_trend,blocked_missing_forward_window,0.0,0,
BTCUSDT,h2_2024,VOL_SHOCK,high_vol,blocked_missing_forward_window,0.0,0,
BTCUSDT,h2_2024,VOL_SHOCK,chop,blocked_missing_forward_window,0.0,0,
BTCUSDT,h2_2024,FUNDING_EXTREME_ONSET,bearish_trend,blocked_missing_forward_window,0.0,0,
BTCUSDT,h2_2024,FUNDING_EXTREME_ONSET,negative_funding,blocked_missing_forward_window,0.0,0,
BTCUSDT,h2_2024,VOL_SHOCK,negative_funding,blocked_missing_forward_window,0.0,0,
ETHUSDT,full_2024,FUNDING_PERSISTENCE_TRIGGER,unconditional,rejected_no_contrast,0.0,5,36.99521295877895
ETHUSDT,full_2024,FUNDING_PERSISTENCE_TRIGGER,negative_funding,rejected_no_contrast,0.0,3,57.551184110239
ETHUSDT,full_2024,VOL_SHOCK,unconditional,rejected_no_contrast,0.0,2,94.68124131082845
ETHUSDT,full_2024,VOL_SHOCK,wide_spread,rejected_no_contrast,0.0,2,94.68124131082845
ETHUSDT,full_2024,FUNDING_EXTREME_ONSET,unconditional,rejected_no_contrast,0.0,2,24.239554343264373
ETHUSDT,full_2024,FUNDING_EXTREME_ONSET,positive_funding,blocked_missing_forward_window,0.0,0,
ETHUSDT,full_2024,FUNDING_EXTREME_ONSET,low_vol,blocked_missing_forward_window,0.0,0,
ETHUSDT,full_2024,FUNDING_EXTREME_ONSET,wide_spread,blocked_missing_forward_window,0.0,0,
ETHUSDT,full_2024,FUNDING_EXTREME_ONSET,negative_funding,blocked_missing_forward_window,0.0,0,
ETHUSDT,full_2024,FUNDING_EXTREME_ONSET,bullish_trend,blocked_missing_forward_window,0.0,0,
ETHUSDT,full_2024,VOL_SHOCK,bullish_trend,blocked_missing_forward_window,0.0,0,
ETHUSDT,full_2024,FUNDING_EXTREME_ONSET,high_vol,blocked_missing_forward_window,0.0,0,
ETHUSDT,full_2024,FUNDING_EXTREME_ONSET,bearish_trend,blocked_missing_forward_window,0.0,0,
ETHUSDT,h1_2024,FUNDING_PERSISTENCE_TRIGGER,unconditional,rejected_no_contrast,0.0,5,36.99521295877895
ETHUSDT,h1_2024,FUNDING_PERSISTENCE_TRIGGER,negative_funding,rejected_no_contrast,0.0,3,57.551184110239
ETHUSDT,h1_2024,VOL_SHOCK,unconditional,rejected_no_contrast,0.0,2,94.68124131082845
ETHUSDT,h1_2024,VOL_SHOCK,wide_spread,rejected_no_contrast,0.0,2,94.68124131082845
ETHUSDT,h1_2024,FUNDING_EXTREME_ONSET,unconditional,rejected_no_contrast,0.0,2,24.239554343264373
ETHUSDT,h1_2024,FUNDING_EXTREME_ONSET,positive_funding,blocked_missing_forward_window,0.0,0,
ETHUSDT,h1_2024,FUNDING_EXTREME_ONSET,low_vol,blocked_missing_forward_window,0.0,0,
ETHUSDT,h1_2024,FUNDING_EXTREME_ONSET,wide_spread,blocked_missing_forward_window,0.0,0,
ETHUSDT,h1_2024,FUNDING_EXTREME_ONSET,negative_funding,blocked_missing_forward_window,0.0,0,
ETHUSDT,h1_2024,FUNDING_EXTREME_ONSET,bullish_trend,blocked_missing_forward_window,0.0,0,
ETHUSDT,h1_2024,VOL_SHOCK,bullish_trend,blocked_missing_forward_window,0.0,0,
ETHUSDT,h1_2024,FUNDING_EXTREME_ONSET,high_vol,blocked_missing_forward_window,0.0,0,
ETHUSDT,h1_2024,FUNDING_EXTREME_ONSET,bearish_trend,blocked_missing_forward_window,0.0,0,
ETHUSDT,h2_2024,FUNDING_PERSISTENCE_TRIGGER,unconditional,rejected_no_contrast,0.0,5,36.99521295877895
ETHUSDT,h2_2024,FUNDING_PERSISTENCE_TRIGGER,negative_funding,rejected_no_contrast,0.0,3,57.551184110239
ETHUSDT,h2_2024,VOL_SHOCK,unconditional,rejected_no_contrast,0.0,2,94.68124131082845
ETHUSDT,h2_2024,VOL_SHOCK,wide_spread,rejected_no_contrast,0.0,2,94.68124131082845
ETHUSDT,h2_2024,FUNDING_EXTREME_ONSET,unconditional,rejected_no_contrast,0.0,2,24.239554343264373
ETHUSDT,h2_2024,FUNDING_EXTREME_ONSET,positive_funding,blocked_missing_forward_window,0.0,0,
ETHUSDT,h2_2024,FUNDING_EXTREME_ONSET,low_vol,blocked_missing_forward_window,0.0,0,
ETHUSDT,h2_2024,FUNDING_EXTREME_ONSET,wide_spread,blocked_missing_forward_window,0.0,0,
ETHUSDT,h2_2024,FUNDING_EXTREME_ONSET,negative_funding,blocked_missing_forward_window,0.0,0,
ETHUSDT,h2_2024,FUNDING_EXTREME_ONSET,bullish_trend,blocked_missing_forward_window,0.0,0,
ETHUSDT,h2_2024,VOL_SHOCK,bullish_trend,blocked_missing_forward_window,0.0,0,
ETHUSDT,h2_2024,FUNDING_EXTREME_ONSET,high_vol,blocked_missing_forward_window,0.0,0,
ETHUSDT,h2_2024,FUNDING_EXTREME_ONSET,bearish_trend,blocked_missing_forward_window,0.0,0,
