event_type,canonical_regime,canonical_family,default_executable,detector_band,planning_eligible,runtime_eligible,promotion_eligible,primary_anchor_eligible,detector,enabled,tags,instrument_classes,sequence_eligible,subtype,phase,evidence_mode,layer,disposition,asset_scope,venue_scope,research_only,strategy_only,is_composite,is_context_tag,is_strategy_construct,deconflict_priority,reports_dir,events_file,signal_column,templates,horizons,conditioning_cols,max_candidates_per_run,accel_lookback,accel_near_zero_cutoff,accel_quantile,alignment_window,anchor_quantile,auc_horizon_bars,band_z_threshold,basis_lookback,breakout_strength_min,breakout_window,breakout_z_threshold,cascade_window_bars,cluster_window,compression_quantile,compression_ratio_max,compression_window,context_max_entropy,context_min_confidence,cooldown_bars,cooldown_quantile,cooldown_ratio,crossover_confirm_bars,depth_quantile,desync_z_threshold,event_spacing_bars,expansion_quantile,expansion_z_threshold,funding_abs_quantile,funding_extreme_quantile,funding_pct_window,funding_quantile,htf_lookback,htf_window,imbalance_abs_quantile,interaction_min_rows_per_year,lead_lag_window,liq_cooldown_ratio,liq_multiplier,liquidation_abs_min,liquidation_cooldown_abs_max,liquidation_multiplier,liquidation_quantile,liquidation_spike_z_threshold,lookback_window,low_volume_quantile,max_gap,max_gap_bars,max_range_ratio,max_trend_persistence_bars,max_vacuum_bars,median_window,merge_gap_bars,min_basis_bps,min_breakout_distance,min_episode_oi_reduction_pct,min_event_spacing,min_events_calibration,min_flip_abs,min_hazard_events,min_history_bars,min_occurrences,min_pair_observations,min_periods,min_prior_extreme_abs,min_spacing,min_trend_duration_bars,min_vacuum_bars,min_volume_quantile,normalization_lookback,oi_change_z_threshold,oi_drop_abs_min,oi_drop_quantile,oi_window,persistence_bars,phase_tolerance_bars,post_cluster_lookback,post_horizon_bars,post_window,pre_window,price_quantile,pullback_quantile,pullback_window,range_expansion_threshold,range_multiplier,range_quantile,range_window,rebound_quantile,rebound_return_min,rebound_window,rebound_window_bars,regime_window,ret_quantile,ret_window,return_abs_min,return_quantile,reversal_alignment_window,reversal_quantile,reversal_window,revert_z,rv_decay_ratio,rv_peak_decay_ratio,rv_quantile,rv_window,session_range_quantile,session_vol_z_min,shock_change_quantile,shock_quantile,shock_quantiles,shock_threshold_mode,slippage_z_threshold,slope_fast_window,slope_slow_window,slow_trend_quantile,spike_z_th,spread_abs_min,spread_quantile,spread_z_threshold,threshold_bps,threshold_window,threshold_z,transition_z_threshold,trend_peak_multiplier,trend_quantile,trend_strength_ratio,trend_window,vol_burst_quantile,vol_lookback_window,vol_quantile,vol_ratio_floor,vol_surge_quantile,vol_window,volume_quantile,volume_window,wick_quantile,wick_ratio_min,window,window_end,z_threshold,zscore_quantile
ABSORPTION_PROXY,LIQUIDITY_STRESS,LIQUIDITY_DISLOCATION,True,composite_or_fragile,False,False,False,False,AbsorptionProxyDetector,True,,,True,absorption,persistence,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,liquidity_dislocation,liquidity_dislocation_events.parquet,absorption_proxy_event,mean_reversion|stop_run_repair|overshoot_repair|only_if_liquidity|slippage_aware_filter,15m,vol_regime|vol_phase|carry_state|funding_phase|oi_phase|price_oi_quadrant|forced_flow_phase|liquidity_phase|execution_friction|trend_phase|basis_phase|temporal_phase|data_quality_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,600,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,0,,,,,,,,288,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.965,,,,,,,,,,,,,,,,,,,,288,,,
BAND_BREAK,STATISTICAL_STRETCH_OVERSHOOT,STATISTICAL_DISLOCATION,True,research_trigger,True,False,False,False,BandBreakDetector,True,statistical_stretch,crypto|futures,True,band_break,breakout,statistical,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,statistical_dislocation,statistical_dislocation_events.parquet,band_break_event,mean_reversion|overshoot_repair|tail_risk_avoid,15m|60m,vol_regime|vol_phase|carry_state|funding_phase|oi_phase|price_oi_quadrant|forced_flow_phase|liquidity_phase|execution_friction|trend_phase|basis_phase|temporal_phase|data_quality_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,,,,,,,3.0,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,288,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASIS_DISLOC,BASIS_FUNDING_DISLOCATION,BASIS_FUNDING_DISLOCATION,True,deployable_core,True,True,True,True,BasisDislocationDetector,True,basis_dislocation,crypto|futures,True,basis_dislocation,shock,statistical,canonical,merge,single_asset,cross_venue,False,False,False,False,False,0,basis_dislocation,basis_dislocation_events.parquet,basis_dislocation_event,basis_convergence|basis_funding_convergence,15m|60m,vol_regime|vol_phase|carry_state|funding_phase|oi_phase|price_oi_quadrant|forced_flow_phase|liquidity_phase|execution_friction|trend_phase|basis_phase|temporal_phase|data_quality_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,288,,,,,,,,1,10.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
BETA_SPIKE_EVENT,REGIME_TRANSITION,REGIME_TRANSITION,True,research_trigger,True,False,True,True,BetaSpikeDetector,True,regime_shift,crypto|futures,True,beta_spike,transition,inferred_cross_asset,canonical,keep,cross_asset,multi_venue,False,False,False,False,False,0,regime_transition,regime_transition_events.parquet,beta_spike_event,only_if_regime|continuation|mean_reversion|drawdown_filter|tail_risk_avoid,60m,vol_regime|vol_phase|carry_state|funding_phase|oi_phase|price_oi_quadrant|forced_flow_phase|liquidity_phase|execution_friction|trend_phase|basis_phase|temporal_phase|data_quality_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,
BREAKOUT_TRIGGER,VOLATILITY_RELAXATION_COMPRESSION_RELEASE,VOLATILITY_TRANSITION,True,research_trigger,True,False,False,False,BreakoutTriggerDetector,True,vol_regime|trend_momentum,crypto|futures,True,breakout_trigger,breakout,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,volatility_transition,volatility_transition_events.parquet,breakout_trigger_event,mean_reversion|continuation|trend_continuation|volatility_expansion_follow|pullback_entry|only_if_regime,60m,vol_regime|vol_phase|carry_state|funding_phase|oi_phase|price_oi_quadrant|forced_flow_phase|liquidity_phase|execution_friction|trend_phase|basis_phase|temporal_phase|data_quality_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,,,,,,,,,,,,,,,0.8,6,,,12,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0015,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,
CHOP_TO_TREND_SHIFT,REGIME_TRANSITION,REGIME_TRANSITION,True,research_trigger,True,False,False,False,ChopToTrendDetector,True,regime_shift|trend_momentum,crypto|futures,True,chop_to_trend,transition,hybrid,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,regime_transition,regime_transition_events.parquet,chop_to_trend_shift_event,only_if_regime|continuation|mean_reversion|drawdown_filter|tail_risk_avoid,60m,vol_regime|vol_phase|carry_state|funding_phase|oi_phase|price_oi_quadrant|forced_flow_phase|liquidity_phase|execution_friction|trend_phase|basis_phase|temporal_phase|data_quality_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,
CLIMAX_VOLUME_BAR,TREND_FAILURE_EXHAUSTION,FORCED_FLOW_AND_EXHAUSTION,True,research_trigger,True,False,False,False,ClimaxVolumeDetector,True,exhaustion|high_urgency,crypto|futures,True,climax_volume,exhaustion,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,forced_flow_and_exhaustion,forced_flow_and_exhaustion_events.parquet,climax_volume_bar_event,,60m,vol_regime|vol_phase|carry_state|funding_phase|oi_phase|price_oi_quadrant|forced_flow_phase|liquidity_phase|execution_friction|trend_phase|basis_phase|temporal_phase|data_quality_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,,,,,,,,,,,,12,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.995,,,,,,,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992,,,,,,,,,,,
COPULA_PAIRS_TRADING,STATISTICAL_STRETCH_OVERSHOOT,STATISTICAL_DISLOCATION,False,composite_or_fragile,False,False,False,False,CopulaPairsTradingDetector,True,basis_dislocation,crypto|futures,True,copula_pairs_trading,strategy,statistical,strategy_construct,demote,cross_asset,multi_venue,False,True,False,False,True,0,copula_pairs,copula_pairs_events.parquet,copula_pairs_trading_event,mean_reversion|overshoot_repair|tail_risk_avoid,15m|60m,vol_regime|vol_phase|carry_state|funding_phase|oi_phase|price_oi_quadrant|forced_flow_phase|liquidity_phase|execution_friction|trend_phase|basis_phase|temporal_phase|data_quality_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,288,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORRELATION_BREAKDOWN_EVENT,REGIME_TRANSITION,REGIME_TRANSITION,True,research_trigger,True,False,True,True,CorrelationBreakdownDetector,True,regime_shift,crypto|futures,True,correlation_breakdown,transition,inferred_cross_asset,canonical,keep,cross_asset,multi_venue,False,False,False,False,False,0,regime_transition,regime_transition_events.parquet,correlation_breakdown_event,only_if_regime|continuation|mean_reversion|drawdown_filter|tail_risk_avoid,60m,vol_regime|vol_phase|carry_state|funding_phase|oi_phase|price_oi_quadrant|forced_flow_phase|liquidity_phase|execution_friction|trend_phase|basis_phase|temporal_phase|data_quality_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,
CROSS_ASSET_DESYNC_EVENT,CROSS_ASSET_DESYNCHRONIZATION,INFORMATION_DESYNC,True,context_only,True,False,False,False,CrossAssetDesyncDetector,True,desync,crypto|futures,True,cross_asset_desync,divergence,inferred_cross_asset,canonical,keep,cross_asset,multi_venue,False,False,False,False,False,0,cross_asset_desync_event,cross_asset_desync_event_events.parquet,cross_asset_desync_event,desync_repair|convergence|basis_repair|lead_lag_follow|divergence_continuation,5m|15m|60m,vol_regime|vol_phase|carry_state|funding_phase|oi_phase|price_oi_quadrant|forced_flow_phase|liquidity_phase|execution_friction|trend_phase|basis_phase|temporal_phase|data_quality_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,600,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,2880,,,,,,,,1,,,,,,,,,0,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
