event_type,tier,operational_role,deployment_disposition,runtime_category,ontology_maturity,implementation_maturity,spec_richness,spec_code_fidelity,calibration_maturity,synthetic_coverage,research_evidence_strength,deployment_suitability
ABSORPTION_PROXY,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
BAND_BREAK,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
BASIS_DISLOC,A,trigger,primary_trigger_candidate,active_runtime_event,5,5,5,5,4,5,4,5
BETA_SPIKE_EVENT,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
BREAKOUT_TRIGGER,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
CHOP_TO_TREND_SHIFT,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
CLIMAX_VOLUME_BAR,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
COPULA_PAIRS_TRADING,D,research_only,research_only,research_only,2,2,2,2,1,2,1,0
CORRELATION_BREAKDOWN_EVENT,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
CROSS_ASSET_DESYNC_EVENT,C,filter,repair_before_promotion,active_runtime_event,3,3,3,3,2,3,2,1
CROSS_VENUE_DESYNC,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
DELEVERAGING_WAVE,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
DEPTH_COLLAPSE,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,4,3
DEPTH_STRESS_PROXY,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
FAILED_CONTINUATION,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
FALSE_BREAKOUT,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
FEE_REGIME_CHANGE_EVENT,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,4,3
FLOW_EXHAUSTION_PROXY,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
FND_DISLOC,A,trigger,primary_trigger_candidate,active_runtime_event,5,5,5,5,4,5,5,5
FORCED_FLOW_EXHAUSTION,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
FUNDING_EXTREME_ONSET,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,4,3
FUNDING_FLIP,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,4,3
FUNDING_NORMALIZATION_TRIGGER,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,4,3
